The Flow Network Graph is as follows:
1026 2049
0:  0->1024 1024 0  0->1 1 0  
1:  1->1025 1024 0  1->1023 1022 0  1->2 1 0  
2:  2->1024 1022 0  2->1022 1020 0  2->3 1 0  
3:  3->1023 1020 0  3->1021 1018 0  3->4 1 0  
4:  4->1022 1018 0  4->1020 1016 0  4->5 1 0  
5:  5->1021 1016 0  5->1019 1014 0  5->6 1 0  
6:  6->1020 1014 0  6->1018 1012 0  6->7 1 0  
7:  7->1019 1012 0  7->1017 1010 0  7->8 1 0  
8:  8->1018 1010 0  8->1016 1008 0  8->9 1 0  
9:  9->1017 1008 0  9->1015 1006 0  9->10 1 0  
10:  10->1016 1006 0  10->1014 1004 0  10->11 1 0  
11:  11->1015 1004 0  11->1013 1002 0  11->12 1 0  
12:  12->1014 1002 0  12->1012 1000 0  12->13 1 0  
13:  13->1013 1000 0  13->1011 998 0  13->14 1 0  
14:  14->1012 998 0  14->1010 996 0  14->15 1 0  
15:  15->1011 996 0  15->1009 994 0  15->16 1 0  
16:  16->1010 994 0  16->1008 992 0  16->17 1 0  
17:  17->1009 992 0  17->1007 990 0  17->18 1 0  
18:  18->1008 990 0  18->1006 988 0  18->19 1 0  
19:  19->1007 988 0  19->1005 986 0  19->20 1 0  
20:  20->1006 986 0  20->1004 984 0  20->21 1 0  
21:  21->1005 984 0  21->1003 982 0  21->22 1 0  
22:  22->1004 982 0  22->1002 980 0  22->23 1 0  
23:  23->1003 980 0  23->1001 978 0  23->24 1 0  
24:  24->1002 978 0  24->1000 976 0  24->25 1 0  
25:  25->1001 976 0  25->999 974 0  25->26 1 0  
26:  26->1000 974 0  26->998 972 0  26->27 1 0  
27:  27->999 972 0  27->997 970 0  27->28 1 0  
28:  28->998 970 0  28->996 968 0  28->29 1 0  
29:  29->997 968 0  29->995 966 0  29->30 1 0  
30:  30->996 966 0  30->994 964 0  30->31 1 0  
31:  31->995 964 0  31->993 962 0  31->32 1 0  
32:  32->994 962 0  32->992 960 0  32->33 1 0  
33:  33->993 960 0  33->991 958 0  33->34 1 0  
34:  34->992 958 0  34->990 956 0  34->35 1 0  
35:  35->991 956 0  35->989 954 0  35->36 1 0  
36:  36->990 954 0  36->988 952 0  36->37 1 0  
37:  37->989 952 0  37->987 950 0  37->38 1 0  
38:  38->988 950 0  38->986 948 0  38->39 1 0  
39:  39->987 948 0  39->985 946 0  39->40 1 0  
40:  40->986 946 0  40->984 944 0  40->41 1 0  
41:  41->985 944 0  41->983 942 0  41->42 1 0  
42:  42->984 942 0  42->982 940 0  42->43 1 0  
43:  43->983 940 0  43->981 938 0  43->44 1 0  
44:  44->982 938 0  44->980 936 0  44->45 1 0  
45:  45->981 936 0  45->979 934 0  45->46 1 0  
46:  46->980 934 0  46->978 932 0  46->47 1 0  
47:  47->979 932 0  47->977 930 0  47->48 1 0  
48:  48->978 930 0  48->976 928 0  48->49 1 0  
49:  49->977 928 0  49->975 926 0  49->50 1 0  
50:  50->976 926 0  50->974 924 0  50->51 1 0  
